"Model_1","Mode_1","Model_2","Mode_2","P_Value","Interpretation"
"chatgpt","zeroshot","llama","zeroshot",0.0114942528735632,"显著差异 (p < 0.05)"
"chatgpt","zeroshot","qwen","zeroshot",0.12543728135932,"无显著差异 (p >= 0.05)"
"chatgpt","zeroshot","chatgpt","oneshot",0.0289855072463768,"显著差异 (p < 0.05)"
"chatgpt","zeroshot","llama","oneshot",0.00349825087456272,"高度显著差异 (p < 0.01)"
"chatgpt","zeroshot","qwen","oneshot",0.000499750124937531,"极显著差异 (p < 0.001)"
"chatgpt","zeroshot","chatgpt","fewshot",0.488255872063968,"无显著差异 (p >= 0.05)"
"chatgpt","zeroshot","llama","fewshot",0.000999500249875062,"极显著差异 (p < 0.001)"
"chatgpt","zeroshot","qwen","fewshot",0.0194902548725637,"显著差异 (p < 0.05)"
"llama","zeroshot","qwen","zeroshot",0.800599700149925,"无显著差异 (p >= 0.05)"
"llama","zeroshot","chatgpt","oneshot",0.00299850074962519,"高度显著差异 (p < 0.01)"
"llama","zeroshot","llama","oneshot",0.503248375812094,"无显著差异 (p >= 0.05)"
"llama","zeroshot","qwen","oneshot",0.5952023988006,"无显著差异 (p >= 0.05)"
"llama","zeroshot","chatgpt","fewshot",0.0114942528735632,"显著差异 (p < 0.05)"
"llama","zeroshot","llama","fewshot",0.232383808095952,"无显著差异 (p >= 0.05)"
"llama","zeroshot","qwen","fewshot",0.732633683158421,"无显著差异 (p >= 0.05)"
"qwen","zeroshot","chatgpt","oneshot",0.0224887556221889,"显著差异 (p < 0.05)"
"qwen","zeroshot","llama","oneshot",0.375312343828086,"无显著差异 (p >= 0.05)"
"qwen","zeroshot","qwen","oneshot",0.143428285857071,"无显著差异 (p >= 0.05)"
"qwen","zeroshot","chatgpt","fewshot",0.071464267866067,"无显著差异 (p >= 0.05)"
"qwen","zeroshot","llama","fewshot",0.0619690154922539,"无显著差异 (p >= 0.05)"
"qwen","zeroshot","qwen","fewshot",0.746626686656672,"无显著差异 (p >= 0.05)"
"chatgpt","oneshot","llama","oneshot",0.0499750124937531,"显著差异 (p < 0.05)"
"chatgpt","oneshot","qwen","oneshot",0.000999500249875062,"极显著差异 (p < 0.001)"
"chatgpt","oneshot","chatgpt","fewshot",0.00349825087456272,"高度显著差异 (p < 0.01)"
"chatgpt","oneshot","llama","fewshot",0.00549725137431284,"高度显著差异 (p < 0.01)"
"chatgpt","oneshot","qwen","fewshot",0.0659670164917541,"无显著差异 (p >= 0.05)"
"llama","oneshot","qwen","oneshot",0.680659670164918,"无显著差异 (p >= 0.05)"
"llama","oneshot","chatgpt","fewshot",0.000999500249875062,"极显著差异 (p < 0.001)"
"llama","oneshot","llama","fewshot",0.241879060469765,"无显著差异 (p >= 0.05)"
"llama","oneshot","qwen","fewshot",0.76111944027986,"无显著差异 (p >= 0.05)"
"qwen","oneshot","chatgpt","fewshot",0.000499750124937531,"极显著差异 (p < 0.001)"
"qwen","oneshot","llama","fewshot",0.286856571714143,"无显著差异 (p >= 0.05)"
"qwen","oneshot","qwen","fewshot",0.36231884057971,"无显著差异 (p >= 0.05)"
"chatgpt","fewshot","llama","fewshot",0.000499750124937531,"极显著差异 (p < 0.001)"
"chatgpt","fewshot","qwen","fewshot",0.015992003998001,"显著差异 (p < 0.05)"
"llama","fewshot","qwen","fewshot",0.549225387306347,"无显著差异 (p >= 0.05)"
