learning_mode,model,file_name,file_path,UCE,OGE,UGE,NNE,DTE,MGE,total_hallucinations
fewshot,chatgpt,201301,fewshot/chatgpt/201301.txt,0,0,1,0,0,1,2
fewshot,llama,201301,fewshot/llama/201301.txt,0,0,5,0,1,6,12
fewshot,qwen,201301,fewshot/qwen/201301.txt,0,0,3,0,0,4,7
oneshot,chatgpt,201301,oneshot/chatgpt/201301.txt,0,0,6,0,1,9,16
oneshot,llama,201301,oneshot/llama/201301.txt,1,0,9,5,2,31,48
oneshot,qwen,201301,oneshot/qwen/201301.txt,0,0,6,2,1,21,30
zeroshot,chatgpt,201301,zeroshot/chatgpt/201301.txt,0,0,6,0,1,12,19
zeroshot,llama,201301,zeroshot/llama/201301.txt,1,0,10,7,2,39,59
zeroshot,qwen,201301,zeroshot/qwen/201301.txt,0,0,8,2,1,23,34
fewshot,chatgpt,201302,fewshot/chatgpt/201302.txt,0,0,3,0,0,1,4
fewshot,llama,201302,fewshot/llama/201302.txt,0,0,4,1,2,10,17
fewshot,qwen,201302,fewshot/qwen/201302.txt,0,0,3,1,1,6,11
oneshot,chatgpt,201302,oneshot/chatgpt/201302.txt,0,0,4,1,2,11,18
oneshot,llama,201302,oneshot/llama/201302.txt,0,0,7,3,5,23,38
oneshot,qwen,201302,oneshot/qwen/201302.txt,0,0,6,3,3,17,29
zeroshot,chatgpt,201302,zeroshot/chatgpt/201302.txt,0,0,4,1,2,13,20
zeroshot,llama,201302,zeroshot/llama/201302.txt,0,0,8,3,6,26,43
zeroshot,qwen,201302,zeroshot/qwen/201302.txt,0,0,7,3,4,17,31
fewshot,chatgpt,201309,fewshot/chatgpt/201309.txt,0,0,1,0,0,6,7
fewshot,llama,201309,fewshot/llama/201309.txt,0,0,1,0,1,13,15
fewshot,qwen,201309,fewshot/qwen/201309.txt,0,0,1,0,1,10,12
oneshot,chatgpt,201309,oneshot/chatgpt/201309.txt,0,0,1,0,1,15,17
oneshot,llama,201309,oneshot/llama/201309.txt,1,0,4,0,2,28,35
oneshot,qwen,201309,oneshot/qwen/201309.txt,0,0,2,0,1,21,24
zeroshot,chatgpt,201309,zeroshot/chatgpt/201309.txt,0,0,2,0,1,17,20
zeroshot,llama,201309,zeroshot/llama/201309.txt,1,0,6,0,2,33,42
zeroshot,qwen,201309,zeroshot/qwen/201309.txt,0,0,4,0,1,23,28
fewshot,chatgpt,201401,fewshot/chatgpt/201401.txt,0,0,1,0,0,2,3
fewshot,llama,201401,fewshot/llama/201401.txt,0,0,2,1,0,15,18
fewshot,qwen,201401,fewshot/qwen/201401.txt,0,0,2,1,0,8,11
oneshot,chatgpt,201401,oneshot/chatgpt/201401.txt,0,0,2,1,0,19,22
oneshot,llama,201401,oneshot/llama/201401.txt,0,2,6,1,0,32,41
oneshot,qwen,201401,oneshot/qwen/201401.txt,0,1,3,1,0,28,33
zeroshot,chatgpt,201401,zeroshot/chatgpt/201401.txt,0,1,2,1,0,20,24
zeroshot,llama,201401,zeroshot/llama/201401.txt,0,2,6,4,0,36,48
zeroshot,qwen,201401,zeroshot/qwen/201401.txt,0,1,4,1,0,31,37
