learning_mode,model,file_name,file_path_x,UCE,OGE,UGE,NNE,DTE,MGE,total_hallucinations,file_path_y,reference_file,BLEU,METEOR,ROUGE-W,BERTScore-P,BERTScore-R,BERT-F1,sum,rank
fewshot,chatgpt,201301,fewshot/chatgpt/201301.txt,0,0,1,0,0,1,2,../generate_summray/fewshot/chatgpt/201301.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201301.txt,0.1524398294276873,0.3545637780981366,0.7288135543450158,0.8284111022949219,0.8693009614944458,0.8483635783195496,3.781892803979757,256
fewshot,llama,201301,fewshot/llama/201301.txt,0,0,5,0,1,6,12,../generate_summray/fewshot/llama/201301.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201301.txt,0.1998945413829286,0.306321258478857,0.7927927877931986,0.8248670101165771,0.8653602004051208,0.8446285724639893,3.833864370640672,244
fewshot,qwen,201301,fewshot/qwen/201301.txt,0,0,3,0,0,4,7,../generate_summray/fewshot/qwen/201301.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201301.txt,0.2254494990004749,0.2757729750845535,0.6851851801868999,0.8186898231506348,0.8455963134765625,0.8319255113601685,3.682619302259294,268
oneshot,chatgpt,201301,oneshot/chatgpt/201301.txt,0,0,6,0,1,9,16,../generate_summray/oneshot/chatgpt/201301.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201301.txt,0.1686474991065274,0.3432512477220748,0.761061942,0.8318195343017578,0.8753442764282227,0.8530271053314209,3.833151604796183,245
oneshot,llama,201301,oneshot/llama/201301.txt,1,0,9,5,2,31,48,../generate_summray/oneshot/llama/201301.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201301.txt,0.2024503585377622,0.2582934406965241,0.7543859599184365,0.8157392740249634,0.8444088101387024,0.8298264741897583,3.705104317506147,263
oneshot,qwen,201301,oneshot/qwen/201301.txt,0,0,6,2,1,21,30,../generate_summray/oneshot/qwen/201301.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201301.txt,0.1758926938964634,0.2735724933468461,0.7102803688357062,0.8189001083374023,0.8411402702331543,0.8298712372779846,3.649657171927557,269
zeroshot,chatgpt,201301,zeroshot/chatgpt/201301.txt,0,0,6,0,1,12,19,../generate_summray/zeroshot/chatgpt/201301.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201301.txt,0.2580006579786065,0.341060601,0.7636363586363637,0.8345752954483032,0.8754068613052368,0.8545036315917969,3.927183406211061,206
zeroshot,llama,201301,zeroshot/llama/201301.txt,1,0,10,7,2,39,59,../generate_summray/zeroshot/llama/201301.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201301.txt,0.2456625485879471,0.2422383191351065,0.7216494796258901,0.8313880562782288,0.8375882506370544,0.83447665,3.713003304025427,261
zeroshot,qwen,201301,zeroshot/qwen/201301.txt,0,0,8,2,1,23,34,../generate_summray/zeroshot/qwen/201301.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201301.txt,0.3302276156677516,0.2567144767387654,0.6732673217723754,0.8419320583343506,0.8464399576187134,0.8441799879074097,3.792761418039366,253
fewshot,chatgpt,201302,fewshot/chatgpt/201302.txt,0,0,3,0,0,1,4,../generate_summray/fewshot/chatgpt/201302.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201302.txt,0.2062068139920867,0.3534338112900863,0.8316831633212431,0.8412246704101562,0.8652331829071045,0.8530600666999817,3.950841708620658,194
fewshot,llama,201302,fewshot/llama/201302.txt,0,0,4,1,2,10,17,../generate_summray/fewshot/llama/201302.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201302.txt,0.408516656180189,0.3535745807590467,0.7599999950020001,0.8589171767234802,0.8740609288215637,0.8664228916168213,4.121492229103101,99
fewshot,qwen,201302,fewshot/qwen/201302.txt,0,0,3,1,1,6,11,../generate_summray/fewshot/qwen/201302.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201302.txt,0.3732205711766021,0.2373045567399009,0.7722772227271836,0.8305450677871704,0.8424564599990845,0.8364583253860474,3.892262203815989,227
oneshot,chatgpt,201302,oneshot/chatgpt/201302.txt,0,0,4,1,2,11,18,../generate_summray/oneshot/chatgpt/201302.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201302.txt,0.2704571738606868,0.3764353935706392,0.7999999950222222,0.8560020327568054,0.8840567469596863,0.86980325,4.056754592006008,132
oneshot,llama,201302,oneshot/llama/201302.txt,0,0,7,3,5,23,38,../generate_summray/oneshot/llama/201302.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201302.txt,0.3227028709752305,0.3272893994804631,0.6597938094335211,0.8387529850006104,0.857258677,0.8479049205780029,3.853702662950433,238
oneshot,qwen,201302,oneshot/qwen/201302.txt,0,0,6,3,3,17,29,../generate_summray/oneshot/qwen/201302.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201302.txt,0.3380484689380419,0.3233544292537902,0.8041237063407376,0.8449753522872925,0.8649880886077881,0.8548645973205566,4.030354642748207,151
zeroshot,chatgpt,201302,zeroshot/chatgpt/201302.txt,0,0,4,1,2,13,20,../generate_summray/zeroshot/chatgpt/201302.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201302.txt,0.4157473134392841,0.3527255294263122,0.7628865929386759,0.8623971939086914,0.8774401545524597,0.8698536157608032,4.141050400026226,91
zeroshot,llama,201302,zeroshot/llama/201302.txt,0,0,8,3,6,26,43,../generate_summray/zeroshot/llama/201302.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201302.txt,0.4141347815790419,0.3039074068219064,0.6966292085342761,0.8551558256149292,0.8583592176437378,0.8567545413970947,3.984940981590986,174
zeroshot,qwen,201302,zeroshot/qwen/201302.txt,0,0,7,3,4,17,31,../generate_summray/zeroshot/qwen/201302.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201302.txt,0.4469149849108624,0.288251763389355,0.742268036,0.862498403,0.8663364052772522,0.8644131422042847,4.070682735,127
fewshot,chatgpt,201309,fewshot/chatgpt/201309.txt,0,0,1,0,0,6,7,../generate_summray/fewshot/chatgpt/201309.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201309.txt,0.2893119451618956,0.429077239506588,0.8247422630460198,0.8557881116867065,0.8844246864318848,0.8698707222938538,4.153214968126949,80
fewshot,llama,201309,fewshot/llama/201309.txt,0,0,1,0,1,13,15,../generate_summray/fewshot/llama/201309.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201309.txt,0.3280037158198695,0.2408163265306122,0.7474747424875013,0.8269965648651123,0.8333081603050232,0.8301403522491455,3.806739862257264,251
fewshot,qwen,201309,fewshot/qwen/201309.txt,0,0,1,0,1,10,12,../generate_summray/fewshot/qwen/201309.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201309.txt,0.4037780173581827,0.2567199851082014,0.7499999950021702,0.8355205655097961,0.836677074,0.8360984921455383,3.918794129556262,212
oneshot,chatgpt,201309,oneshot/chatgpt/201309.txt,0,0,1,0,1,15,17,../generate_summray/oneshot/chatgpt/201309.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201309.txt,0.298089425,0.4409286490004743,0.7692307642769971,0.8542855978012085,0.8840312957763672,0.8689039945602417,4.115469726541991,100
oneshot,llama,201309,oneshot/llama/201309.txt,1,0,4,0,2,28,35,../generate_summray/oneshot/llama/201309.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201309.txt,0.3667757654387604,0.2756195467655542,0.7912087862142254,0.833914042,0.8442876935005188,0.8390688300132751,3.950874663451499,193
oneshot,qwen,201309,oneshot/qwen/201309.txt,0,0,2,0,1,21,24,../generate_summray/oneshot/qwen/201309.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201309.txt,0.4097271846308423,0.4777736205275007,0.857142852,0.8644565939903259,0.8906927704811096,0.8773785829544067,4.377171604735373,18
zeroshot,chatgpt,201309,zeroshot/chatgpt/201309.txt,0,0,2,0,1,17,20,../generate_summray/zeroshot/chatgpt/201309.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201309.txt,0.4606666515602105,0.4387515494671066,0.8247422630460198,0.8610785603523254,0.8896383047103882,0.8751254677772522,4.350002796913302,27
zeroshot,llama,201309,zeroshot/llama/201309.txt,1,0,6,0,2,33,42,../generate_summray/zeroshot/llama/201309.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201309.txt,0.4406203391516028,0.2828450909090909,0.8222222172320989,0.849811316,0.8465999960899353,0.8482025861740112,4.090301545093238,109
zeroshot,qwen,201309,zeroshot/qwen/201309.txt,0,0,4,0,1,23,28,../generate_summray/zeroshot/qwen/201309.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201309.txt,0.4887015030522766,0.4090970042133739,0.799999995,0.861918569,0.8810158371925354,0.8713625073432922,4.312095415413177,32
fewshot,chatgpt,201401,fewshot/chatgpt/201401.txt,0,0,1,0,0,2,3,../generate_summray/fewshot/chatgpt/201401.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201401.txt,0.3990352299836006,0.4490676284352421,0.7833333283458335,0.8621771931648254,0.8730366826057434,0.8675729632377625,4.234223025773008,53
